Company_name,Website,Categories,Email,description,Country,Region,City,Stand_name,Stand_location,Product
Agrícola Don Ricardo SAC,,,gnoboa@adr.com.pe,,PER,,15023-Lima,8A14,,
AGRICOLA ITALIANA SNC,,,alexc@agricola.it,,ITA,,35010-MASSANZAGO,7B29,,
AGRICOLA JJF,https://www.agricolajjf.com,,info@agricolajjf.es,,ESP,Ciudad Real,Llanos del Caudillo,5C09C,P05,
AGRICOLA MARVIC S.L.U,https://agricolamarvic.com/,"Fresh Produce, Fresh vegetables",calidad@agricolamarvic.com,"Agrícola Marvic S.L.U ubicada en Cox (Alicante).
Consta de más de 400 Hectáreas en la Comunidad Valenciana y la Región de Murcia en propiedad y en constante crecimiento, destinadas a la producción ecológica.
Empresa familiar fundada por Don José Marhuenda Rives en 1992, siendo la empresa matriz Hortocox S.A.T Nº 945.
A día de hoy, Agrícola Marvic S.L.U es dirigida por la segunda generación de la familia Marhuenda desde 2018 con el objetivo de continuar la actividad de porducción agrícola de hortalizas ecológicas de calidad.
Con la herencia del saber hacer y la profesionalidad en la producción agraria, se pretende continuar la actividad productora y comercializadora iniciada hace 32 años.
Los productos que producimos son brócoli, apio, calabaza, col china, col picuda, romanesco, coliflor y col rabano .
Contamos en la actualidad con dos marcas destacadas en el mundo de la agricultura ecológica. Estas marcas se comercializan a nivel mundial contando con prestigio y años de saber hacer, hablamos de Ecoking y Bioqueen.
Agrícola Marvic S.L.U cuenta con las certificaciones de productos ecológicos CAE tanto de la Comunidad Valenciana como de la Región de Murcia así como las certificaciones de calidad GLOBALG.A.P, GRASP y BRC.
 ",ESP,Alicante,Cox,3D18F,P03,
"AGRICOLA NAVARRO DE HARO, S.L.",https://www.agricolanavarrodeharo.es,"Fresh Produce, Fresh fruits, Fresh vegetables",juaninavarro@agricolanavarrodeharo.es,"Agrícola Navarro de Haro es una empresa familiar dedicada a la producción de frutas y verduras frescas y de alta calidad.
Trabajamos para mejorar constantemente la calidad y el servicio de nuestros productos. Este crecimiento solo lo entendemos de la mano de la mejora social y medioambiental de nuestro entorno.
Producimos sandía negra, sandía blanca, sandía mini, aloe vera ecológico, calabacín, lechuga iceberg y coliflor.",ESP,Almería,Palomares,9C01,P09,
AGRICOLA POMEO S.R.L.,,"Fresh Produce, Fresh fruits, Fresh vegetables",f.diporto@agricolapomeo.it,"From the irresistible taste, the wide seasonality and the beneficial properties of pomegranate, POMEO was born the farm dedicated to the cultivation of the millenarian symbol of fertility and good fortune.
POMEO produces and sells pomegranate of the first range of the Wonderful and Ako varieties both non patented.",ITA,,00192 - Roma (RM),3B04A,P03,
AGRICOLA SAN BLAS,https://www.agricolasanblas.com,,eduardo@agricolasanblas.net,,ESP,Navarra,Ribaforada,7C09A,P07,
"AGRICOLA SANTA EULALIA, S.L.",https://mrbroko.com/,"Fresh Produce, Fresh fruits",administracion@agricolasantaeulalia.es,"Agrícola Santa Eulalia nace en 1994 de la ilusión y esfuerzo de dos hermanos, Francisco y Juan Mula, herederos directos de una familia dedicada a la agricultura y el cultivo tradicional en las ricas tierras del levante español.
Tras más de 30 años de crecimiento, innovación y adaptación a las nuevas tecnologías Agrícola Santa Eulalia mantiene intactos los principios que sembraron sus fundadores.
Agrícola Santa Eulalia se encuentra situada en el privilegiado levante español, zona ideal para el cultivo hortofrutícola. Las pecuares características que nos brinda nuestra tierra, con ricos suelos bañados por el Mediterráneo y la gran cantidad de microclimas nos permiten, gracias a la experiencia y una óptima estrategia de plantación, obtener una producción continua todo el año.Nuestras frutas y verduras crecen de forma sostenible, sanas y fuertes a lo largo de más de 1.500 hectáreas de campos Murcianos, 35.000 toneladas anuales de compromiso y respeto al producto, cultivadas y manipuladas bajo los más estrictos controles de seguridad alimentaria y calidad.",ESP,Murcia,Totana,7C10,P07,
Agricola Valencia Europe B.V.,,,lbijnsdorp@agricolavalencia.com,"Agricola Valencia is grower and exporter of conventional and organic avocados en mangos from Mexico to international markets and Agricola Valencia Europe B.V. is our import office in the Netherlands to service the European market all year around. Our company has more than 10 years of export experience to international markets. We also import a variety of fresh products from Latin America and Africa. We cultivate strong and lasting relationships with our customers, based on trust, transparency, and the consistent delivery of top-quality products. We guarantee fresh and delicious avocados and mangoes in every shipment.",NLD,,3012CN-Rotterdam,6C10,,
AGRICULTURAL COOPERATIVE RACHIS PIERIAS “O AGIOS LOUKAS”,,"Fresh Produce, Fresh fruits",gpghellas@gmail.com,,GRC,,10433-Athens,10A11,P10,
AGRICULTURE AND FOOD AUTHORITY,,,directorhcd@gmail.com,,KEN,,00100-Nairobi,4C28,P04,
AGRIDATA CONSULTING,,"Innova&Tech, Smart Agro",marketing@agridata-consulting.com,,MAR,,80000-Agadir,1A11,P01,
AGRIDEMUR MARKETING SL,,"Fresh Produce, Fresh vegetables",agridemur@agridemur.com,,ESP,Murcia,Torrepacheco,9A17A,P09,
Agrifoods Imports and Distributions BV,https://www.agrifoods.nl/,"Fresh Produce, Fresh fruits",info@agrifoods.nl,"Agrifoods is a trading agency company. Based in the Netherlands it imports and exports Fresh Fruits and Vegetables, from all over the world. It was established in 2015, and counts with more than 10 years of experience in the international fruits and vegetables business. 
“We look forward to increase our business flow, providing solutions and advantages to our business partners”.
​
“For us, business is not about buying or selling, it is a relationship, and this relationship must be good for every part involved. Fair principles and conclusions will assure that the relationship will last and the will to do business again between the partners will be there…”
“The best reward we have it to be recognized as a trustful and good business partner and to have the doors of our partners open for business again and again”.",NLD,,Schiedam,4E14,P04,
AGRIGES,https://www.agriges.com/ZZ_Lang_Eng/index.asp,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",info.contact@agriges.com,"The experience acquired in more than 30 years of work in the field of biological and integrated plant nutrition, allows AGRIGES to be today a solid and constantly evolving Italian company, with a global presence in the world.
All our products derive from the development of innovative production technologies, developed by the Agriges Research and Development Department, which has specialized laboratories and a wide technical network, with the aim of always offering solutions adapted and at the forefront of the specific needs of the field. That is why scientific research, both academic and in the field, is the cornerstone of the company.
AGRIGES has always aimed at maximizing crop production results while maintaining a strong commitment to environmental sustainability and the safety of operators and final consumers, thus arising the Green Path® project: “Produce more, produce healthy”, sealing the commitment already acquired with which AGRIGES seeks to increase production in a sustainable way, in order to ensure safe and high quality food.
Welcome to our space!",ITA,,San Salvatore Telesino 82035 - Benevento,8B25,P08,
AGRILEPIDIO SRL,,"Fresh Produce, Fresh fruits, Fresh vegetables",daniela@agrilepidio.it,,ITA,,04012 Cisterna di Latina,3A04D,P03,
AGRIMANTER SL,,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",dennis@agrimanter.com,,ESP,Valencia,San Antonio de Benageber,3B23B,P03,
AGRIMAT SRL,,,catia@agrimat.it,,ITA,,15057-TORTONA,10F25A,,
AGRIMESA-CENTRAMIRSA,,"Fresh Produce, Fresh fruits, Fresh vegetables",aqgestion@gmail.com,,ESP,Murcia,San Javier,10A00,P10,
AGRIMOLINA,,"Fresh Produce, Fresh fruits, Fresh vegetables",agrimolina@legalmail.it,,ITA,,Roccadaspide - Salerno 84069,3A08,P03,
AGRINA FOR IMPORT & EXPORT,,"Fresh Produce, Fresh fruits, Fresh vegetables",marketing@agrinagroup.com,"Agrina group founded in 1999 For agricultural fruit and vegetable
for cultivation, sorting, packaging, vegetable and fruit to international markets.
Our farms are located in Ismailia Suez Canal, we have 2200 acres we use
the G.A.P. Open field, green houses, pivots.
To satisfy the quality for global markets.
Our packaging house in abo sultan Ismailia.
Workforce with a workforce that reaches around 2250 workers.
Belgium office The company has a branch in Belgium that is responsible for marketing and sales.
Strategy We are always striving for continuous development and progress.   www.agrinagroup.com",EGY,,Ismailia,4A34,P04,
AGRINOVA II SRL,,"Auxiliary Industry, Preharvest",a.munoz@agrinova-srl.net,,ITA,,20060-Cassina de Pecchi,5D18,P05,
AGRIPLACE B.V.,,"Auxiliary Industry, Postharvest",lucas.aguirre@agriplace.com,,NLD,,1012SH-Amsterdam,10G26,P10,
AGRITECHMURCIA,https://www.agritechmurcia.com,"Auxiliary Industry, Services",direccion@agritechmur.org,,ESP,Murcia,Murcia,7C20,P07,
"AGRO ALEX GROUP CO.FOR AGRICULTURAL INDUSTRIALIZATION, IMPORT AND EXPORT",,"Fresh Produce, Fresh fruits",export@agroalexgroup.com,,EGY,Select state,ALEXANDRIA,2A15,P02,
AGRO EGYPT For (GHALLAB),,,info@agroegypt.com,,EGY,,76768-Cairo,4E14B,N04I,
AGRO FOOD,,"Fresh Produce, Fresh fruits, Fresh vegetables",nada@agrofood.org,,EGY,,56453-Cairo,4A40,P04,
Agro Queens,https://agroqueens.com/,,anna.gabler@agroqueens.com,"Agro Queens is the leading exporter and producer of the Polish food.
We specialize in exporting fresh fruit and vegetables. We also offer frozen fruit and vegetables, NFC juices and fruit concentrates.
Direct purchase of fruit and vegetables from growers, group o producers and packhouses are a guarantee of a continuous supply of high-quality products at  stable quality and competitive prices
We work for the most demanding:Retail ChainsWholesalersProcessorsWe can pack any type of the available product, deliver mixes or organize promotion.",POL,,Grójec,8C18,,
AGROAEREO FRUIT EXPORT S.A.,,"Fresh Produce, Fresh fruits",documentacion@aa-fruit.com,,ECU,,120301-Guayaquil,4E03,P04,
AGROALIMENTARIA DE LA RIOJA 2001 S.L.,,"Fresh Produce, Fresh fruits",agroalimentaria@aseinfo.com,,ESP,La Rioja,Rincón de Soto,5B05,P05,
AGROATLAS,,"Fresh Produce, Fresh vegetables",tatiana@agroatlas.es,,ESP,Almería,El Ejido,9A13,P09,
AGROBANK,https://www.caixabank.com,"Auxiliary Industry, Services",mcasenjo@caixabank.com,,ESP,Valencia,Valencia,7C21,P07,
AGROBÍO,,"Auxiliary Industry, Postharvest",psm@agrobio.es,,ESP,Almería,La Mojonera,9E22,P09,
AGROBIOLOGY,https://www.agrobiology.es,,alvaro@agrobiology.es,,ESP,Murcia,ALQUERIAS,7D24,,
AGROBITA,,,joaquin@burgossalaverry.es,,ESP,Jaén,Úbeda,1E07,,
AGROCOLOR,https://www.agrocolor.com,"Fresh Produce, Fresh fruits",prensa@coexphal.es,,ESP,Almería,Almería,9C15,P09,
AGRODOLORES EL MIRADOR S.L.,https://www.agrodolores-sl.es,"Fresh Produce, Fresh vegetables",orosique@agrodolores.es,,ESP,Murcia,Dolores de Pacheco,7E01,P07,
"AGROEJIDO, SA",https://www.agroejido.com,"Fresh Produce, Fresh fruits",fgomez@agroejido.com,,ESP,Almería,El Ejido,9C19,P09,
AGROFAIR,,"Fresh Produce, Fresh fruits",h.w.waal@agrofair.nl,,NLD,,2991 LN Barendrecht,4D24,P04,
AGROFRESH,https://www.agrofresh.com,"Auxiliary Industry, Postharvest",earslan@agrofresh.com,,ESP,Valencia,Paterna,3C23,P03,
AGROFRESH EXPORT CONSORTIUM SL,http://www.agrofresh.es/,"Fresh Produce, Fresh fruits, Fresh vegetables",elena@agrofresh.es,"En Agrofresh le ofrecemos la mejor gama de FRUTA producida en España. Creamos una relación directa entre clientes y proveedores, ofreciendo de esta forma los mejores productos certificados a precios competitivos para exportación.",ESP,Valencia,Valencia,3C18D,P03,
AGROFROST,,"Auxiliary Industry, Preharvest",direction@agrofrost.fr,,POL,,66-520-Dobiegniew,8D22A,P08,
AGROGESTIA,,"Innova&Tech, Smart Agro",ceo@agrogestia.com,,ESP,Huelva,Cartaya,1C09B,P01,
AGROINDUSTRIA BALENO S.A.C,https://pitahayasbaleno.com/,"Fresh Produce, Fresh fruits",businessintelligence@pitahayasbaleno.com,"Somos una empresa productora de pitahaya roja. Contamos con más de 100 hectáreas sembradas. Estamos certificados con GLOBAL GAP, cumpliendo con las condiciones óptimas de buenas prácticas de agricultura. Contamos con experiencia en exportación.",PER,Lima/Lima/Lima,051-Lima,4E36,P04,
AGROIRIS SAT,https://www.agroiris.com,"Fresh Produce, Fresh fruits",rfornieles@agroiris.com,,ESP,Almería,El Ejido,9C14,P09,
AGROLAND FOR AGRICULTURAL MANUFACTURING,,"Fresh Produce, Fresh vegetables",marketing@agroland-egypt.com,,EGY,,Alexandria,2C05,P02,
AGROMARK,https://www.agromark.es,"Fresh Produce, Fresh vegetables",carlos@agromark.es,,ESP,Murcia,Torre Pacheco,7E09,P07,
AGROMARKETING ESPAÑA,https://www.agromarketing.es,"Innova&Tech, Biotech Attraction ",a.ortega@agromarketing.es,,ESP,Murcia,Cieza,1B04A,P01,
AGROMEDITERRANEA - GRUPO FOODIVERSE,https://www.agromediterranea.com,"Fresh Produce, Fresh vegetables",ruth@mascreativas.com,En Agromediterránea somos especialistas en el cultivo y elaboración de productos y vegetales directos del campo. Máxima frescura y calidad.,ESP,Murcia,Dolores de Pacheco,7C04,P07,
AGROMÉTODOS,https://www.agrometodos.com/,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",marketing@agrometodos.com,,ESP,Madrid,Las Rozas,8A24,P08,
AGROMEX,https://www.franceagromex.fr,"Fresh Produce, Fresh vegetables",pbouchery@agromex.fr,,FRA,,59810 - Lesquin,6A01,P06,
AGROMILLORA,,"Fresh Produce, Nurseries",ppujadas@agromillora.com,,ESP,Barcelona,Sant Sadurní d'Anoia,8A01D,N08S,
AGROMONTES FRESH GROUP SL,https://agromontes.com/es/,"Fresh Produce, Fresh vegetables",comercial@agromontes.com,"Agromontes es una empresa FAMILIAR que inició su actividad hace más de 40 años como AGRICULTORES. En el año 2014 con la inauguración de nuestro almacén de manipulado comenzamos a comercializar directamente nuestros productos. Ofrecemos nuestros productos durante todo el año gracias a la DIVERSIFICACIÓN de nuestros cultivos en 4 áreas con diferentes altitudes y condiciones climáticas.
Nuestro principal objetivo en Agromontes es promover la agricultura SOSTENIBLE, enfocándonos en la excelencia, la reducción del desperdicio y la accesibilidad a alimentos saludables para todos. Nos esforzamos por ser el proveedor de CONFIANZA para los supermercados europeos en los productos de nuestras categorías, proporcionando productos sabrosos y saludables.
Nuestra misión es alimentar a las generaciones presentes y futuras con alimentos de la más ALTA CALIDAD, al mismo tiempo que contribuimos a la preservación del medio ambiente y al bienestar de las comunidades locales. Estamos firmemente comprometidos con la INNOVACIÓN, la EXCELENCIA y la RESPONSABILIDAD SOCIAL, y trabajamos incansablemente para hacer del mundo un lugar más saludable y sostenible a través de nuestra pasión por la agricultura.
 ",ESP,Murcia,El Mirador - San Javier,7D13,P07,
AGRONOM BERRIES SPAIN SL,,"Fresh Produce, Fresh fruits",simone@agronomberriesspain.es,,ESP,Huelva,Moguer,9A13A,P09,
AGRONUTRIENTS,https://www.agronutrients.com,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",comercial@agrosanitario.com,,ESP,Murcia,Murcia,7A25,P07,
AGRONUTRITION,,,g.laurendeau@agro-nutrition.fr,,FRA,,CARBONNE,9D29,,
AGROPONIENTE S.A.,https://www.agroponiente.es,"Fresh Produce, Fresh fruits",aroman@agroponiente.es,,ESP,Almería,EL EJIDO,9D05,P09,
AGROPONTINO CONSORZIO AGROALIMENTARE,,"Fresh Produce, Fresh fruits",segreteria@apca.it,,ITA,,04100-Latina,3A11,P03,
AGROPTIMUM DESARROLLOS GLOBALES SLU,https://www.agroptimum.com,"Innova&Tech, Smart Agro",marketing@agroptimum.com,"Somos una empresa innovadora con base biotecnológica que, a través de un trabajo continuo de I+D+i, transforma la agricultura tradicional en una nueva de mayor innovación, sostenibilidad y rentabilidad.
Somos especialistas en proyectos de cultivos de leñosos, especializados en plantaciones de pistachos, con soluciones 360º.
 
We are an innovative company with a biotechnological base that, through continuous R+D+i work, transforms traditional agriculture into a new one of greater innovation, sustainability and profitability.
We are specialists in woody crops projects, specialized in pistachio plantations, with 360º solutions.",ESP,Cuenca,Villanueva de la Jara,1A15,P01,
AGRO-RIEGOS MONTERO,,"Auxiliary Industry, Preharvest",administraciondb@agroriegosmontero.com,,ESP,Badajoz,Don Benito,5E18,P05,
AGRO-RINCON SL,https://www.agrorincon.com,,administracion@agrorincon.com,,ESP,Sta.Cruz Tenerife,LOS REALEJOS,5C04_01,,
AGROSOFT LATAM,https://agrosoftlatam.com/,,xcardenas@agrosoft.com.ec,"Somos una empresa líder de innovación con 28 años de experiencia, especializados en la implementación de soluciones tecnológicas para el sector Agrícola y Acuícola. Hemos transformado digitalmente a Clientes en 7 países de América Latina y el Caribe, mejorando la eficiencia y sostenibilidad de sus procesos productivos

 40 Hectáreas subidas en Nube
1000 Implementaciones realizadas.
Aliado Estratégico de empresas líderes de la agroindustria.

Contamos con certificación EFQM (European Foundation For Quality Management)",ECU,Guayaquil,090101-Guayaquil,4C04,,
AGROSTOCK,https://www.agrostock.es,,iwali@agrostock.es,,ESP,Huesca,FRAGA,7D26,,
